Wind Speed [m/s],0.925,0.95,0.975,1,1.025,1.05,1.075,1.1,1.125,1.15,1.175,1.2,1.225,1.25,1.275,1.3
18,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550
18.5,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550
19,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550
19.5,2548.58294,2548.58294,2548.58294,2548.58294,2548.58294,2548.58294,2549.29147,2549.29147,2549.29147,2549.29147,2550,2550,2550,2550,2550,2550
20,2535.075251,2535.075251,2535.075251,2536.496656,2537.91806,2539.339465,2541.471572,2542.182274,2543.603679,2545.025084,2546.446488,2547.867893,2550,2550,2550.710702,2550.710702
20.5,2499.971567,2499.971567,2499.971567,2504.321865,2509.397214,2513.747512,2518.097811,2522.448109,2526.798408,2531.873756,2536.224055,2540.574353,2550,2550,2554.350299,2554.350299
21,2474.619289,2474.619289,2474.619289,2480.71066,2487.563452,2493.654822,2500.507614,2507.360406,2514.974619,2521.827411,2528.680203,2536.294416,2550,2550,2557.614213,2557.614213
21.5,2461.532284,2461.532284,2461.532284,2468.085448,2475.457758,2482.010922,2488.564086,2497.574687,2505.766142,2514.776743,2522.968198,2531.978799,2550,2550,2559.829746,2559.829746
22,2471.345952,2471.345952,2471.345952,2477.602524,2483.859096,2490.115668,2496.37224,2503.522608,2510.672976,2517.823344,2524.973712,2533.017876,2550,2550,2558.93796,2558.93796
22.5,2464.836852,2464.836852,2464.836852,2471.68906,2478.541267,2484.414587,2491.266795,2499.097889,2507.907869,2515.738964,2523.570058,2532.380038,2550,2550,2557.831094,2557.831094
23,2474.203822,2474.203822,2474.203822,2480.700637,2486.11465,2492.611465,2499.10828,2505.605096,2513.184713,2519.681529,2526.178344,2533.757962,2550,2550,2556.496815,2556.496815
23.5,2477.24679,2477.24679,2477.24679,2483.309558,2489.372325,2495.435093,2501.49786,2508.773181,2514.835949,2520.898716,2526.961484,2534.236805,2550,2550,2558.487874,2558.487874
24,2489.677419,2489.677419,2489.677419,2493.790323,2499.274194,2504.758065,2510.241935,2515.725806,2519.83871,2525.322581,2529.435484,2536.290323,2550,2550,2559.596774,2559.596774
24.5,2482.93578,2482.93578,2482.93578,2489.174312,2493.853211,2498.53211,2504.770642,2511.009174,2517.247706,2523.486239,2529.724771,2535.963303,2550,2550,2559.357798,2559.357798
25,2484.801136,2484.801136,2484.801136,2488.423295,2493.856534,2499.289773,2502.911932,2510.15625,2517.400568,2522.833807,2530.078125,2537.322443,2550,2550,2557.244318,2557.244318
25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
